"id","title","authors","author_count","primary_category","categories","comment","repo_url","published","updated","summary","pdf_url","is_cvpr2026","track","accepted","notes","task_primary","task_secondary","task_keywords","modality","task_summary"
"http://arxiv.org/abs/2605.05126v1","ConsisVLA-4D: Advancing Spatiotemporal Consistency in Efficient 3D-Perception and 4D-Reasoning for Robotic Manipulation","Wei Li; Jizhihui Liu; Li Yixing; Junwen Tong; Rui Shao; Liqiang Nie","6","cs.RO","cs.RO","Accepted to CVPR 2026, Project Page: https://github.com/iLearn-Lab/CVPR26-ConsisVLA-4D","https://github.com/iLearn-Lab/CVPR26-ConsisVLA-4D","2026-05-06T16:55:44Z","2026-05-06T16:55:44Z","Current Vision-Language-Action (VLA) models primarily focus on mapping 2D observations to actions, but exhibit notable limitations in spatiotemporal perception and reasoning: 1) spatial representations often rely on additional sensors, introducing substantial computational overhead; 2) visual reasoning is typically limited to future-frame prediction, lacking alignment with the instruction-grounded scene and thus compromising spatiotemporal consistency. To address these challenges, we propose ConsisVLA-4D, a unified and efficient framework that enhances spatiotemporal consistency in 3D perception and 4D reasoning. Specifically, we design: 1) CV-Aligner, which ensures cross-view object semantic consistency by filtering instruction-relevant regions and aligning object identities across multiple viewpoints; 2) CO-Fuser, which guarantees cross-object spatial geometric consistency by eliminating spatial relation ambiguities between objects across views using compact latent representations. Building upon these, we introduce 3) CS-Thinker to achieve cross-scene spatiotemporal consistency as actions unfold. It learns implicit knowledge of local dynamics from object-semantic tokens of CV-Aligner and global depth from geometric tokens of CO-Fuser, thereby enhancing efficient visual reasoning under scene variations. Extensive experiments demonstrate that, benefiting from its efficient spatiotemporal consistency design, ConsisVLA-4D achieves 21.6% and 41.5% performance improvements, along with 2.3-fold and 2.4-fold inference speedups compared to OpenVLA on the LIBERO benchmark and real-world platforms, respectively.ConsisVLA-4D is open-sourced and publicly available at","https://arxiv.org/pdf/2605.05126v1","yes","main","yes","Accepted to CVPR 2026","robotics-vla","","spatiotemporal consistency, 3d perception, 4d reasoning, instruction-grounded, visual reasoning","image","Enhances spatiotemporal consistency in robotic manipulation using a unified VLA framework."
"http://arxiv.org/abs/2605.05027v1","Prompt-Anchored Vision-Text Distillation for Lifelong Person Re-identification","Wen Wen; Hao Chen; Shiliang Zhang","3","cs.CV","cs.CV","Accepted to CVPR 2026","","2026-05-06T15:23:13Z","2026-05-06T15:23:13Z","Lifelong person re-identification (LReID) aims to train a generalizable model with sequentially collected data. However, such models often suffer from semantic drift, limited adaptability, and catastrophic forgetting as new domains emerge. Existing exemplar-free approaches largely rely on visual-only distillation or parameter regularization, while overlooking the potential of auxiliary modalities, such as text, to preserve semantic stability and enable incremental plasticity. We observe that the frozen text encoder in pretrained vision-language models can serve as a stable semantic anchor across domains. To decouple the roles of vision and text, we propose Prompt-Anchored vision-text Distillation (PAD), an asymmetric vision-text framework for semantic alignment and cross-domain generalization. On the textual side, we distill prompts to preserve vision-text alignment under a fixed semantic space, acting as a global semantic reference rather than a dominant learning signal. On the visual side, an EMA-based teacher with an adaptive prompt pool enables domain-wise adaptation by allocating new slots while freezing past ones. Extensive experiments show that PAD substantially outperforms state-of-the-art methods across seen and unseen domains, achieving a strong balance between stability and plasticity. Project page is available at https://github.com/zu-zi/PAD.","https://arxiv.org/pdf/2605.05027v1","yes","main","yes","","classification","","lifelong learning, person re-identification, vision-text distillation, semantic alignment","multimodal","The paper proposes a method for lifelong person re-identification using vision-text distillation."
"http://arxiv.org/abs/2605.05014v2","CARD: A Multi-Modal Automotive Dataset for Dense 3D Reconstruction in Challenging Road Topography","Gasser Elazab; Frank Neuhaus; Tilman Koß; Malte Splietker; Aditya Date; Michael Unterreiner; Maximilian Jansen; Olaf Hellwich","8","cs.CV","cs.CV","Accepted at CVPR 2026 (Highlight). Project page: https://card.content.cariad.digital","","2026-05-06T15:13:18Z","2026-05-07T10:59:26Z","Autonomous driving must operate across diverse surfaces to enable safe mobility. However, most driving datasets are captured on well-paved flat roads. Moreover, recent driving datasets primarily provide sparse LiDAR ground truth for images, which is insufficient for assessing fine-grained geometry in depth estimation and completion. To address these gaps, we introduce CARD, a multi-modal driving dataset that delivers quasi-dense 3D ground truth across continuous sequences rich in speed bumps, potholes, irregular surfaces and off-road segments. Our sensor suite includes synchronized global-shutter stereo cameras, front and rear LiDARs, 6-DoF poses from LiDAR-inertial odometry, per-wheel motion traces, and full calibration. Notably, our multi-LiDAR fusion yields ~500K valid depth pixels per frame, about 6.5x more than KITTI Depth Completion and 10x more on average than other public driving datasets. The dataset spans ~110 km and 4.7 hours across Germany and Italy. In addition, CARD provides 2D bounding boxes targeting road-topography irregularities, enabling accurate benchmarking for both geometry and perception tasks. Furthermore, we establish a standardized evaluation protocol for road surface irregularities on CARD and benchmark state-of-the-art depth estimation models to provide strong baselines. The CARD dataset is hosted on https://huggingface.co/CARD-Data.","https://arxiv.org/pdf/2605.05014v2","yes","main","yes","Highlight","autonomous-driving","","3d reconstruction, depth estimation, multi-modal dataset, road topography, LiDAR","multimodal","Introduces a dataset for dense 3D reconstruction in diverse road conditions."
"http://arxiv.org/abs/2605.04728v1","Anny-Fit: All-Age Human Mesh Recovery","Laura Bravo-Sánchez; Matthieu Armando; Romain Brégier; Grégory Rogez; Serena Yeung-Levy; Fabien Baradel","6","cs.CV","cs.CV","CVPR 2026 Findings Track - Code available at https://github.com/naver/anny-fit","https://github.com/naver/anny-fit","2026-05-06T10:23:10Z","2026-05-06T10:23:10Z","Recovering 3D human pose and shape from a single image remains a cornerstone of human-centric vision, yet most methods assume adult subjects and optimize each person independently. These assumptions fail in real-world, all-age scenes, where body proportions and depth must be resolved jointly. We introduce Anny-Fit, a multi-person, camera-space optimization framework for all-age 3D human mesh recovery (HMR). Unlike existing per-person fitting methods, Anny-Fit jointly optimizes all individuals directly in the camera coordinate system, enforcing global spatial consistency. At the core of our approach is the use of multiple forms of expert knowledge -- including metric depth maps, instance segmentation, 2D keypoints, and, VLM-derived semantic attributes such as age and gender -- each obtained from dedicated off-the-shelf networks. These complementary signals jointly guide the optimization, constraining the depth-scale ambiguity characteristic of all-age scenes. Across diverse datasets, Anny-Fit consistently improves 2D reprojection accuracy (+13 to 16), relative depth ordering (+6 to 7), 3D estimation error (-9 to -29) and shape estimation (+25 to +82), producing more coherent scenes. Finally, we show that VLM-based semantic knowledge can be distilled into an HMR model via the pseudo-ground-truth annotations produced by Anny-Fit on training data, enabling it to learn semantically meaningful shape parameters while improving HMR performance. Our approach bridges adult-only and all-age modeling by enabling zero-shot adaptation of adult-trained HMR pipelines to the full age spectrum without retraining. Code is publicly available at https://github.com/naver/anny-fit.","https://arxiv.org/pdf/2605.04728v1","yes","findings","unsure","Code available","human-mesh","","3d human pose, shape recovery, multi-person optimization, age adaptation, semantic attributes","image","Anny-Fit recovers 3D human mesh from images, optimizing all-age poses jointly."
"http://arxiv.org/abs/2605.04675v1","Physical Adversarial Clothing Evades Visible-Thermal Detectors via Non-Overlapping RGB-T Pattern","Xiaopei Zhu; Guanning Zeng; Zhanhao Hu; Jun Zhu; Xiaolin Hu","5","cs.CV","cs.CV","CVPR 2026","","2026-05-06T09:24:37Z","2026-05-06T09:24:37Z","Visible-thermal (RGB-T) object detection is a crucial technology for applications such as autonomous driving, where multimodal fusion enhances performance in challenging conditions like low light. However, the security of RGB-T detectors, particularly in the physical world, has been largely overlooked. This paper proposes a novel approach to RGB-T physical attacks using adversarial clothing with a non-overlapping RGB-T pattern (NORP). To simulate full-view (0$^{\circ}$--360$^{\circ}$) RGB-T attacks, we construct 3D RGB-T models for human and adversarial clothing. NORP is a new adversarial pattern design using distinct visible and thermal materials without overlap, avoiding the light reduction in overlapping RGB-T patterns (ORP). To optimize the NORP on adversarial clothing, we propose a spatial discrete-continuous optimization (SDCO) method. We systematically evaluated our method on RGB-T detectors with different fusion architectures, demonstrating high attack success rates both in the digital and physical worlds. Additionally, we introduce a fusion-stage ensemble method that enhances the transferability of adversarial attacks across unseen RGB-T detectors with different fusion architectures.","https://arxiv.org/pdf/2605.04675v1","yes","main","unsure","","autonomous-driving","detection","rgb-t detection, adversarial attacks, multimodal fusion, physical attacks, 3d modeling","multimodal","The paper presents adversarial clothing designs to evade RGB-T object detection in autonomous driving."
"http://arxiv.org/abs/2605.04527v1","Velox: Learning Representations of 4D Geometry and Appearance","Anagh Malik; Dorian Chan; Xiaoming Zhao; David B. Lindell; Oncel Tuzel; Jen-Hao Rick Chang","6","cs.CV","cs.CV","CVPR 2026, Project page: https://apple.github.io/ml-velox","","2026-05-06T06:12:19Z","2026-05-06T06:12:19Z","We introduce a framework for learning latent representations of 4D objects which are descriptive, faithfully capturing object geometry and appearance; compressive, aiding in downstream efficiency; and accessible, requiring minimal input, i.e., an unstructured dynamic point cloud, to construct. Specifically, Velox trains an encoder to compress spatiotemporal color point clouds into a set of dynamic shape tokens. These tokens are supervised using two complementary decoders: a 4D surface decoder, which models the time-varying surface distribution capturing the geometry; and a Gaussian decoder, which maps the tokens to 3D Gaussians, helping learn appearance. To demonstrate the utility of our representation, we evaluate it across three downstream tasks -- video-to-4D generation, 3D tracking, and cloth simulation via image-to-4D generation -- and observe strong performances in all settings.","https://arxiv.org/pdf/2605.04527v1","yes","main","unsure","","3d-generation","video-generation, tracking","4d geometry, dynamic point cloud, shape tokens, cloth simulation","point-cloud","Learns representations of 4D objects from point clouds for various downstream tasks."
"http://arxiv.org/abs/2605.04410v1","Evaluation Cards for XAI Metrics","Rokas Gipiškis; Olga Kurasova","2","cs.CV","cs.CV; cs.AI; cs.CY; cs.LG","7 pages. Accepted at the 5th XAI4CV Workshop, CVPR 2026 (non-archival)","","2026-05-06T02:06:56Z","2026-05-06T02:06:56Z","The evaluation of explainable AI (XAI) methods is affected by a lack of standardization. Metrics are inconsistently defined, incompletely reported, and rarely validated against common baselines. In this paper, we identify transparency of evaluation reporting as a central, under-addressed problem. We propose the XAI Evaluation Card, a documentation template analogous to model cards, designed to accompany any study that introduces an XAI evaluation metric. The card covers explicit declaration of target properties, grounding levels, metric assumptions, validation evidence, gaming risks, and known failure cases. We argue that adopting this template as a community norm would reduce evaluation fragmentation, support meta-analysis, and improve accountability in XAI research.","https://arxiv.org/pdf/2605.04410v1","yes","workshop","yes","non-archival","other","","explainable AI, evaluation metrics, standardization, transparency, documentation template","other","Proposes a template for standardizing evaluation of explainable AI metrics."
"http://arxiv.org/abs/2605.04282v2","Hardware-Aware Neural Feature Extraction for Resource-Constrained Devices","Francesco Tosini; Simone Pedroni; Christian Veronesi; Pietro Bartoli; Andrea Giudici; Marco Paracchini; Marco Marcon; Diana Trojaniello","8","cs.LG","cs.LG","This paper has been accepted for publication at the IEEE Conference on Computer Vision and Pattern Recognition (CVPR) Workshops, 2026. \c{opyright}IEEE","","2026-05-05T20:32:00Z","2026-05-07T06:59:18Z","Visual SLAM is a core component of spatial computing systems, yet deploying learned local feature extractors on microcontroller-class hardware remains challenging due to memory, bandwidth, and quantization constraints. While modern neural descriptors provide strong robustness, their practical adoption is often hindered by system-level bottlenecks that are not captured by FLOP-based efficiency metrics. In this work, we introduce Gideon, a hardware-aware neural feature extractor explicitly designed for resource-constrained devices. Our approach combines relational knowledge distillation from a SuperPoint teacher with differentiable neural architecture search (DNAS) under strict memory and operator constraints. Unlike conventional design pipelines, we treat quantization stability and dynamic-range compactness as first-class objectives. We show that architectural choices such as replacing Batch Normalization with affine layers significantly improve INT8 robustness, and that descriptor dimensionality directly governs quantization resilience. Deployed on STM32N6, Gideon achieves 9.003 ms inference time (111 fps) while remaining below a 1.5 MB memory footprint. Remarkably, INT8 quantization induces negligible degradation and occasionally matches full-precision performance. These results demonstrate that robust learned feature extraction can be reconciled with embedded hardware constraints through holistic hardware-algorithm co-design.","https://arxiv.org/pdf/2605.04282v2","yes","workshop","yes","","other","","visual slam, feature extraction, hardware-aware, neural architecture search, quantization","image","Gideon is a hardware-aware feature extractor for visual SLAM on resource-constrained devices."
"http://arxiv.org/abs/2605.04044v1","UniCorrn: Unified Correspondence Transformer Across 2D and 3D","Prajnan Goswami; Tianye Ding; Feng Liu; Huaizu Jiang","4","cs.CV","cs.CV","CVPR 2026, 20 pages","","2026-05-05T17:58:53Z","2026-05-05T17:58:53Z","Visual correspondence across image-to-image (2D-2D), image-to-point cloud (2D-3D), and point cloud-to-point cloud (3D-3D) geometric matching forms the foundation for numerous 3D vision tasks. Despite sharing a similar problem structure, current methods use task-specific designs with separate models for each modality combination. We present UniCorrn, the first correspondence model with shared weights that unifies geometric matching across all three tasks. Our key insight is that Transformer attention naturally captures cross-modal feature similarity. We propose a dual-stream decoder that maintains separate appearance and positional feature streams. This design enables end-to-end learning through stack-able layers while supporting flexible query-based correspondence estimation across heterogeneous modalities. Our architecture employs modality-specific backbones followed by shared encoder and decoder components, trained jointly on diverse data combining pseudo point clouds from depth maps with real 3D correspondence annotations. UniCorrn achieves competitive performance on 2D-2D matching and surpasses prior state-of-the-art by 8% on 7Scenes (2D-3D) and 10% on 3DLoMatch (3D-3D) in registration recall. Project website: https://neu-vi.github.io/UniCorrn","https://arxiv.org/pdf/2605.04044v1","yes","main","unsure","","other","","geometric matching, transformer, cross-modal, feature similarity, correspondence estimation","multimodal","A unified model for geometric matching across 2D and 3D modalities using Transformers."
"http://arxiv.org/abs/2605.03820v1","Multimodal Learning on Low-Quality Data with Conformal Predictive Self-Calibration","Xun Jiang; Yufan Gu; Disen Hu; Yuqing Hou; Yazhou Yao; Fumin Shen; Heng Tao Shen; Xing Xu","8","cs.CV","cs.CV; cs.LG; cs.MM","Accepted by CVPR 2026","","2026-05-05T14:48:52Z","2026-05-05T14:48:52Z","Multimodal learning often grapples with the challenge of low-quality data, which predominantly manifests as two facets: modality imbalance and noisy corruption. While these issues are often studied in isolation, we argue that they share a common root in the predictive uncertainty towards the reliability of individual modalities and instances during learning. In this paper, we propose a unified framework, termed Conformal Predictive Self-Calibration (CPSC), which leverages conformal prediction to equip the model with the ability to perform self-guided calibration on-the-fly. The core of our proposed CPSC lies in a novel self-calibrating training loop that seamlessly integrates two key modules: (1) Representation Self-Calibration, which decomposes unimodal features into components, and selectively fuses the most robust ones identified by a conformal predictor to enhance feature resilience. (2) Gradient Self-Calibration, which recalibrates the gradient flow during backpropagation based on instance-wise reliability scores, steering the optimization towards more trustworthy directions. Furthermore, we also devise a self-update strategy for the conformal predictor to ensure the entire system co-evolves consistently throughout the training process. Extensive experiments on six benchmark datasets under both imbalanced and noisy settings demonstrate that our CPSC framework consistently outperforms existing state-of-the-art methods. Our code is available at https://github.com/XunCHN/CPSC.","https://arxiv.org/pdf/2605.03820v1","yes","main","yes","","other","","multimodal learning, self-calibration, conformal prediction, noisy data, feature resilience","multimodal","Proposes a framework for calibrating multimodal learning under low-quality data conditions."
